0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
49,331,678,355,451,710,435,441,371,97,590,710,51,598,376,90
50,556,805,37,350,91,689,809,517,363,507,661,215,455,339,244
51,46,575,827,206,814,562,241,293,753,239,695,166,510,863,664
52,284,152,169,381,834,281,653,377,305,19,384,345,517,142,325
53,275,740,555,571,652,658,611,296,221,562,62,853,6,316,298
54,210,833,805,136,166,43,698,716,395,35,446,809,272,826,838
55,580,491,400,892,447,364,464,357,279,447,330,97,68,18,419
56,162,195,493,19,547,103,63,45,582,465,468,714,30,414,761
57,305,727,325,343,448,49,317,450,446,534,489,838,722,406,461
58,800,516,202,320,335,787,520,521,337,571,339,65,620,766,671
59,121,347,741,251,267,83,95,38,772,314,650,608,480,627,754
60,557,137,795,673,126,547,582,351,136,218,657,885,225,468,175
61,795,273,797,470,214,399,849,152,803,767,607,340,573,317,210
62,589,623,878,874,329,317,245,468,854,642,548,159,655,303,342
63,748,226,402,770,359,53,622,348,532,342,295,209,222,719,620
64,186,795,786,544,316,58,215,369,660,721,545,280,458,848,726
65,372,854,100,300,697,324,881,43,134,381,388,130,176,407,890
66,237,339,623,89,462,315,281,888,354,52,331,832,541,616,57
67,555,243,636,811,745,688,289,576,802,252,893,668,147,305,858
68,250,495,696,76,200,656,753,695,83,558,358,391,125,882,679
69,38,82,557,47,656,88,594,654,829,553,296,456,678,834,135
70,885,215,211,694,681,377,24,281,584,710,252,849,880,127,72
71,707,275,72,163,561,8,364,389,101,432,456,104,454,82,545
72,96,383,812,267,657,216,433,448,353,620,549,59,444,425,471
73,113,779,456,75,45,736,60,613,621,66,894,299,637,647,197
74,649,702,417,602,833,165,858,112,380,176,177,772,687,567,316
75,87,670,527,864,89,786,746,475,862,859,589,638,271,279,150
76,340,439,722,893,301,637,112,766,551,416,332,87,324,792,563
77,675,625,880,283,671,309,62,744,713,602,457,520,843,85,487
78,679,751,331,12,546,167,890,678,172,433,31,227,138,850,829
79,771,144,312,403,614,585,787,48,877,372,438,419,619,899,740
80,419,540,89,117,518,261,800,541,413,294,253,393,886,676,344
81,327,869,18,652,255,414,4,261,164,359,590,880,798,70,418
82,147,84,608,456,125,15,161,221,264,97,638,652,511,39,192
83,465,828,119,437,318,846,154,172,502,267,406,503,312,852,663
84,842,765,846,503,717,851,678,238,428,311,178,488,395,410,357
85,293,217,213,669,581,470,684,549,559,344,439,269,866,160,817
86,443,440,241,177,427,804,766,753,614,178,769,347,498,427,709
87,115,627,267,575,262,690,671,427,806,12,711,149,649,22,253
88,831,203,153,619,582,523,455,665,53,575,32,89,766,245,74
89,900,292,681,547,825,796,810,628,224,134,407,696,577,542,489
90,252,185,282,775,46,278,618,472,110,648,87,787,230,320,151
91,362,197,462,428,659,55,329,514,50,158,121,62,376,165,397
92,500,400,775,734,769,624,252,637,371,326,668,222,691,539,707
93,687,269,228,882,244,160,502,244,718,838,475,270,34,415,156
94,576,841,819,704,542,683,833,19,677,306,136,432,71,19,106
95,448,879,429,233,899,211,668,119,736,874,805,641,897,796,640
96,319,647,584,822,145,641,471,227,90,599,408,512,99,721,893
97,503,406,337,783,218,872,139,515,686,265,256,697,776,666,780
98,732,719,596,676,527,781,732,439,469,799,835,720,451,628,456
99,785,774,174,248,520,752,119,518,822,327,335,283,567,892,715
100,759,430,685,221,589,407,31,896,513,37,241,192,485,745,89
101,65,299,247,556,641,115,551,120,32,21,876,551,409,179,126
102,610,856,51,798,786,140,46,731,542,722,350,248,341,735,773
103,549,864,661,690,7,91,125,685,781,600,378,506,95,62,479
104,577,325,442,485,284,506,666,302,116,768,434,733,219,477,297
105,717,61,363,753,795,557,94,519,398,235,215,656,847,55,806
106,106,749,750,418,482,867,537,562,863,559,209,102,418,265,310
107,422,257,867,465,584,258,209,867,185,38,818,699,286,105,614
108,733,415,303,157,72,662,425,405,603,281,301,57,174,262,460
109,597,809,273,530,701,273,180,686,643,801,715,817,184,715,411
110,659,511,482,584,475,841,196,229,348,621,878,207,558,109,623
111,411,167,781,263,554,518,181,247,309,769,625,4,320,579,446
112,611,707,322,43,408,304,884,2,712,554,565,250,661,526,593
113,488,1,539,101,675,63,581,868,521,55,361,165,244,359,443
114,350,360,64,706,460,39,612,671,147,417,138,368,646,763,104
115,141,287,159,630,468,475,734,503,155,282,642,396,822,435,431
116,107,617,341,873,147,542,788,214,851,877,728,454,635,618,389
117,155,22,397,144,536,33,776,248,452,404,67,596,686,314,186
118,3,451,778,161,239,410,623,304,535,295,867,615,708,8,436
119,459,549,691,825,307,361,410,318,294,555,228,536,65,122,749
120,660,737,142,740,516,709,352,489,461,603,22,846,616,140,267
121,858,412,440,109,362,598,48,114,212,780,432,81,717,685,25
122,120,759,652,454,461,172,465,72,518,353,639,180,666,445,886
123,112,245,361,494,241,100,563,454,763,569,712,732,326,345,50
124,13,179,280,785,620,351,6,101,170,199,773,505,875,569,717
125,627,582,597,819,485,143,655,384,778,81,490,630,809,895,559
126,472,577,326,430,240,110,96,863,213,834,770,590,365,724,528
127,674,661,427,674,822,426,369,87,836,451,433,56,858,182,764
128,836,567,117,390,592,173,293,543,275,463,271,698,240,466,468
129,52,311,320,83,714,467,198,770,748,570,563,141,88,846,673
130,877,455,135,773,851,569,278,754,365,855,88,289,835,508,541
131,326,343,537,292,638,306,571,436,489,734,491,249,397,862,676
132,17,333,542,32,883,111,306,513,612,248,507,3,523,41,54
133,481,249,260,295,774,844,584,193,441,452,816,739,142,59,327
134,244,349,236,722,154,530,887,878,749,130,774,778,803,480,67
135,292,43,760,659,215,486,736,327,229,185,564,453,633,422,352
136,45,425,473,573,75,570,214,667,766,201,582,395,64,283,824
137,311,7,140,596,347,269,625,242,647,735,20,329,43,625,295
138,637,504,892,192,124,427,83,57,54,870,272,727,14,325,414
139,899,830,601,764,698,445,279,559,21,397,817,845,693,390,328
140,823,307,640,103,441,531,523,146,672,671,286,535,703,322,433
141,650,815,65,40,853,413,86,422,703,186,108,278,427,775,177
142,30,135,753,78,487,253,838,151,648,797,508,688,732,529,131
143,240,886,839,427,792,516,294,739,94,526,21,86,236,699,532
144,304,852,859,360,150,428,158,386,140,613,848,136,682,556,71
145,285,56,822,510,182,295,446,118,246,398,196,239,388,644,846
146,547,111,772,16,334,487,870,42,215,278,583,184,475,239,249
147,101,88,350,232,533,29,856,668,415,494,109,586,487,525,354
148,474,460,198,287,276,254,231,866,492,368,95,715,111,498,189
149,736,631,365,647,92,282,52,845,36,527,157,634,75,689,889
150,641,701,791,895,776,695,842,653,247,557,287,216,421,143,120
151,76,103,34,594,19,130,45,721,103,110,482,803,625,346,116
152,743,544,724,579,220,517,1,312,430,787,414,468,785,605,608
153,617,862,103,899,376,573,682,251,16,7,537,405,704,596,808
154,850,622,863,82,763,389,195,46,477,803,853,752,754,767,800
155,74,596,437,394,757,679,785,762,506,871,190,666,228,442,187
156,586,835,477,564,493,830,78,365,342,457,307,858,420,26,254
157,711,133,2,258,501,356,253,496,657,895,324,103,477,701,525
158,279,392,580,294,538,739,343,14,455,679,514,722,160,842,272
159,102,223,330,508,195,329,330,815,122,687,321,421,187,511,809
160,852,638,376,624,130,390,807,882,96,446,841,753,208,639,286
161,89,761,564,352,623,161,472,464,241,438,721,371,112,289,452
162,48,270,136,595,452,771,637,425,811,698,572,572,698,385,81
163,887,180,864,139,360,312,669,433,667,597,538,516,393,554,217
164,882,546,848,396,703,740,696,773,690,888,453,723,648,225,696
165,816,699,216,337,621,873,32,875,350,539,58,418,582,244,383
166,204,407,756,39,767,357,463,273,343,297,357,25,104,606,182
167,533,568,581,512,746,333,120,324,808,762,325,31,348,129,453
168,766,155,290,385,692,772,518,335,445,90,526,573,358,148,331
169,715,457,21,322,226,116,667,723,593,82,133,802,337,334,651
170,123,300,728,509,651,576,270,121,785,406,786,93,297,535,658
171,59,334,137,364,562,162,126,785,626,766,722,314,416,884,307
172,676,640,425,857,374,358,475,477,327,532,764,26,862,588,112
173,119,366,227,483,884,558,426,571,410,783,736,148,612,349,263
174,796,62,318,646,209,799,276,367,575,387,829,805,535,640,789
175,12,426,757,186,90,419,210,28,437,380,59,833,127,571,652
176,125,713,548,827,190,577,597,657,89,334,234,94,590,212,241
177,471,506,407,614,488,274,885,817,473,453,399,49,659,821,100
178,281,810,91,513,752,621,765,822,661,713,370,378,331,610,583
179,835,308,729,417,615,12,182,208,203,552,134,254,483,794,772
180,440,157,758,366,666,800,442,31,525,4,708,806,94,757,427
181,136,240,19,601,292,724,545,417,568,868,376,828,171,493,544
182,893,566,419,701,176,773,613,126,47,126,727,294,313,369,408
183,728,683,242,46,685,462,742,204,156,154,697,357,675,49,877
184,351,15,239,480,387,238,64,342,666,794,92,10,135,458,242
185,402,60,214,401,320,514,727,645,739,654,106,873,763,585,149
186,277,611,792,94,605,537,624,525,79,229,562,22,650,487,95
187,497,320,283,74,93,41,755,163,295,491,148,829,585,6,219
188,4,255,316,870,299,457,583,750,807,322,255,823,457,546,428
189,432,712,682,455,595,484,437,432,872,276,623,768,201,186,739
190,582,19,610,244,678,286,553,25,257,17,461,114,377,459,599
191,653,657,534,282,78,725,663,294,231,795,652,874,8,540,180
192,894,502,168,900,799,336,686,784,625,33,553,171,165,31,669
193,316,79,334,431,140,252,532,874,784,355,155,483,827,495,662
194,745,821,593,308,830,758,445,308,120,64,622,307,898,547,290
195,572,271,519,651,337,884,73,710,467,323,186,769,615,722,422
196,278,536,492,259,419,135,85,177,436,475,34,876,622,209,630
197,226,450,896,774,734,222,388,604,14,231,226,648,449,51,252
198,856,851,284,581,41,863,493,621,182,216,405,691,568,32,213
199,346,893,392,668,33,208,607,99,209,34,285,484,173,746,622
200,583,682,794,353,499,396,701,859,202,824,699,887,270,151,872
201,574,285,244,723,522,769,420,398,312,250,743,386,119,188,59
202,854,34,747,566,328,20,587,510,424,836,300,127,96,210,702
203,730,80,643,546,26,498,680,178,692,476,613,649,720,478,392
204,746,637,818,338,771,240,51,68,717,157,772,501,652,816,173
205,889,697,727,193,858,387,392,207,827,748,533,783,546,703,694
206,50,881,520,626,424,346,778,827,834,400,124,616,287,152,509
207,271,350,347,604,11,223,349,511,801,825,900,387,203,263,547
208,857,615,595,323,619,493,506,267,685,873,36,404,540,653,842
209,608,214,536,79,597,829,30,372,297,857,5,176,737,53,318
210,768,124,61,398,680,458,542,495,465,132,465,547,321,817,245
211,677,316,616,378,406,196,812,378,443,610,204,569,190,329,524
212,686,686,10,404,155,442,717,256,704,421,362,844,239,204,850
213,644,280,305,608,283,550,415,62,783,520,861,646,116,437,601
214,699,866,111,439,465,86,738,877,493,445,509,205,439,368,743
215,126,237,869,816,458,179,495,123,617,378,667,792,857,230,451
216,435,600,484,288,228,646,67,224,856,237,68,40,522,292,567
217,189,653,689,65,481,149,233,733,13,303,844,309,706,549,403
218,545,521,553,433,804,101,813,828,752,887,777,113,274,205,625
219,441,57,343,805,514,436,336,352,705,550,182,11,351,561,382
220,199,660,887,576,380,629,313,16,37,147,673,540,63,144,123
221,71,591,766,837,407,756,703,594,311,93,344,781,854,362,448
222,789,169,452,334,836,599,296,573,66,89,288,613,319,293,395
223,160,709,161,520,848,59,780,824,857,655,813,433,632,473,650
224,229,38,780,591,490,886,416,842,219,312,596,898,702,382,361
225,530,574,618,1,459,18,23,523,826,719,267,740,204,564,13
226,868,581,115,107,737,307,337,802,771,531,54,514,315,145,438
227,662,76,144,655,863,638,220,460,38,640,347,172,467,419,262
228,596,896,415,726,777,509,373,728,734,316,602,42,681,736,273
229,172,490,43,121,515,895,482,415,296,288,119,466,371,879,856
230,392,551,666,304,128,468,603,375,419,333,97,415,551,383,713
231,209,447,734,442,121,217,570,618,220,356,225,73,235,672,99
232,892,338,132,228,873,189,704,636,369,829,383,557,110,824,5
233,616,346,345,792,849,719,218,306,433,618,237,526,429,789,725
234,381,49,471,81,160,446,221,11,722,3,290,735,379,737,93
235,389,282,298,700,57,503,576,52,735,341,519,888,329,277,405
236,701,353,587,479,230,667,815,226,457,102,306,900,3,781,183
237,56,861,369,807,864,479,876,430,468,693,696,751,532,377,148
238,669,746,677,551,49,270,191,169,404,591,101,681,671,825,612
239,452,694,71,93,331,262,660,97,370,251,154,208,572,136,43
240,214,525,308,869,371,54,483,895,511,514,162,224,335,652,758
241,245,2,552,126,55,106,470,572,636,149,776,195,4,44,323
242,88,36,600,737,183,347,100,833,406,424,188,866,805,271,865
243,92,395,524,98,753,504,650,283,119,349,338,266,442,586,598
244,558,882,398,446,898,563,568,183,302,714,139,137,278,178,790
245,792,23,451,782,617,674,712,801,715,486,317,682,336,499,551
246,270,64,855,27,505,459,874,320,486,776,585,645,745,295,429
247,763,715,67,156,455,263,487,144,181,272,443,43,305,270,21
248,253,811,604,665,304,348,130,490,515,470,868,716,793,285,552
249,354,92,114,276,355,511,665,374,606,318,510,341,870,636,143
250,714,336,263,141,168,879,628,642,668,150,615,233,734,27,700
251,231,354,764,720,270,302,377,73,423,109,821,446,610,755,212
252,802,642,739,56,6,721,658,232,321,684,353,493,53,714,303
253,35,840,665,752,310,854,304,10,561,730,778,131,658,252,495
254,41,4,525,705,805,748,357,691,284,487,851,791,715,711,335
255,370,397,367,872,103,525,772,864,833,171,128,684,249,532,793
256,62,159,353,279,720,880,385,108,868,351,467,896,291,558,526
257,642,557,470,29,288,249,883,168,681,104,289,457,199,501,158
258,470,523,68,677,760,527,325,871,818,319,525,581,423,76,48
259,827,65,719,570,558,707,898,755,464,866,645,813,554,729,508
260,446,170,113,768,553,481,284,850,272,504,881,235,383,313,378
261,672,885,676,100,438,232,562,501,640,427,55,300,808,297,64
262,697,94,765,799,738,205,402,567,7,731,810,8,813,168,24
263,111,356,210,329,755,795,345,879,226,744,495,560,747,450,523
264,845,369,574,88,109,528,497,708,853,853,81,364,261,457,65
265,69,602,856,449,610,766,351,546,659,153,98,521,413,254,128
266,242,463,368,419,888,370,591,395,61,105,480,750,307,589,558
267,216,384,225,173,637,25,242,58,378,761,169,671,86,403,767
268,135,717,454,633,306,219,89,7,306,377,870,111,795,894,588
269,290,645,695,842,198,764,229,363,82,490,291,881,141,799,233
270,806,559,720,585,161,186,147,234,794,428,784,72,41,119,672
271,375,873,448,682,449,609,559,93,368,884,608,276,38,174,125
272,202,769,638,69,16,224,424,420,578,384,126,315,97,520,814
273,517,753,541,333,667,200,152,795,230,49,486,612,151,192,639
274,393,24,387,55,117,712,579,9,656,13,729,607,52,611,458
275,631,781,721,697,70,866,393,63,553,127,280,402,124,71,805
276,614,690,370,204,634,61,178,528,48,405,79,834,839,642,136
277,862,554,45,106,191,125,609,139,466,705,117,513,672,162,735
278,333,234,16,171,846,751,208,712,390,697,23,575,290,150,692
279,26,648,699,240,456,564,226,217,57,629,679,632,626,193,410
280,288,510,196,890,192,404,806,56,290,579,493,255,322,93,237
281,150,442,639,303,345,264,639,705,208,521,767,414,597,600,478
282,670,770,668,767,878,75,834,500,169,650,759,214,382,259,387
283,455,755,845,15,134,349,651,595,572,18,310,679,229,543,442
284,183,263,501,249,256,698,774,738,258,420,686,624,509,758,848
285,11,674,371,80,251,170,167,810,691,304,694,734,5,709,259
286,307,208,679,861,606,257,733,180,881,221,199,96,260,214,220
287,330,326,830,712,104,722,290,835,218,464,473,359,188,309,185
288,704,529,458,541,743,681,851,607,608,347,823,532,67,438,312
289,607,26,197,550,225,642,257,413,800,94,329,680,721,664,445
290,625,721,529,632,529,345,47,362,409,163,497,712,794,551,16
291,864,9,287,180,18,881,378,416,359,217,48,799,394,888,648
292,7,900,33,691,312,316,141,311,183,727,656,407,479,215,121
293,315,120,502,593,86,567,489,581,144,720,649,251,170,102,540
294,588,444,893,299,831,474,538,285,547,817,840,381,155,787,423
295,79,708,182,375,756,482,211,644,177,202,874,602,349,665,215
296,513,735,436,755,87,314,596,611,762,107,111,592,674,363,799
297,345,772,459,393,180,99,714,278,860,289,505,129,762,338,748
298,236,530,503,400,271,607,197,575,671,223,662,761,292,566,372
299,298,28,560,53,194,529,899,431,887,401,213,297,417,813,869
300,416,248,329,129,1,376,654,791,835,682,634,272,584,503,271
301,810,297,629,797,390,425,608,23,896,788,523,489,742,451,482
302,713,711,218,372,880,789,186,411,31,512,197,317,757,837,109
303,870,154,271,261,148,220,550,443,488,578,421,562,730,707,281
304,755,501,675,226,44,164,752,287,227,649,837,425,301,678,314
305,778,121,172,598,789,305,638,4,821,42,53,90,433,779,207
306,40,78,259,670,61,892,724,849,397,664,158,710,491,219,223
307,83,680,249,735,517,372,93,107,228,419,886,163,299,887,234
308,294,535,158,348,670,166,840,338,379,220,745,436,640,496,226
309,881,807,509,583,802,485,166,184,540,878,478,448,712,680,85
310,469,449,229,35,531,197,718,276,642,385,838,197,701,73,776
311,383,139,395,823,21,385,179,641,20,346,129,64,505,100,483
312,137,681,630,867,254,14,111,759,92,162,444,50,578,247,801
313,527,518,127,85,377,444,256,491,64,72,413,491,276,112,282
314,696,284,338,606,548,180,68,6,520,848,746,759,731,515,744
315,169,613,380,222,866,694,580,707,93,726,260,864,333,812,384
316,403,636,173,134,580,803,844,660,885,816,7,852,801,88,777
317,525,20,614,160,502,515,488,233,566,818,396,107,607,24,235
318,241,696,248,492,273,437,314,538,451,580,445,332,300,163,626
319,263,394,736,486,411,677,775,675,414,106,511,285,303,115,86
320,433,614,510,256,824,277,677,340,797,222,140,837,743,221,82
321,553,578,599,516,624,28,713,109,154,27,795,450,51,869,484
322,805,213,364,423,503,60,417,887,367,754,8,291,506,751,396
323,540,598,631,158,60,327,835,467,798,681,39,231,367,430,796
324,317,685,128,610,243,421,203,720,109,258,888,818,18,294,803
325,439,837,854,389,622,388,331,851,263,458,718,673,435,223,385
326,27,794,274,290,464,639,374,778,552,348,141,17,334,890,439
327,368,409,110,44,748,572,142,394,597,863,354,701,580,340,236
328,227,599,615,335,217,659,741,782,85,192,856,462,713,517,659
329,85,46,262,452,227,144,106,709,402,739,570,109,381,727,87
330,194,494,540,779,803,218,705,111,56,271,889,77,304,575,714
331,412,389,521,653,689,338,601,808,167,299,804,350,779,135,636
332,328,91,401,490,591,343,799,504,665,501,142,587,391,288,703
333,702,294,186,620,67,878,588,704,462,593,506,302,368,455,75
334,532,242,857,214,821,210,480,155,893,108,82,706,83,364,40
335,599,106,62,440,401,733,159,392,255,758,815,410,811,635,359
336,431,839,811,149,882,311,21,319,697,260,219,878,526,243,510
337,352,219,139,317,470,747,101,809,760,777,283,186,581,90,2
338,832,744,788,491,545,556,201,689,775,170,586,693,137,504,690
339,460,434,645,698,603,398,189,579,407,389,377,496,850,45,666
340,77,556,877,198,74,605,263,156,624,625,858,44,414,333,246
341,511,564,77,411,416,526,543,412,376,608,742,122,806,272,832
342,618,669,449,150,394,225,38,159,537,865,386,178,596,881,51
343,157,151,808,91,573,51,616,186,487,226,107,440,39,500,3
344,75,884,88,535,440,472,216,690,394,882,691,694,627,348,769
345,895,377,731,182,860,204,629,580,745,567,898,325,746,296,201
346,712,115,488,199,426,62,827,565,74,743,800,618,497,808,765
347,764,194,716,241,37,495,706,141,669,471,624,567,247,637,756
348,103,601,311,760,149,890,754,160,201,546,884,685,481,820,561
349,395,17,568,748,509,369,131,277,882,548,94,542,735,28,712
350,90,827,700,536,791,405,323,747,563,760,659,287,645,379,677
351,794,136,205,305,783,6,39,445,285,61,156,477,279,253,202
352,888,644,152,67,275,11,434,566,30,627,751,653,189,513,645
353,584,422,94,849,298,185,326,142,18,732,51,156,716,712,549
354,817,467,743,761,478,699,449,322,700,125,429,161,70,235,353
355,371,621,465,578,326,735,264,647,819,352,227,9,528,502,322
356,534,586,390,715,22,178,113,748,684,198,116,561,856,11,876
357,601,849,25,523,588,691,386,539,106,638,555,827,424,77,855
358,716,872,831,68,379,682,795,174,260,228,588,725,761,409,329
359,37,391,688,563,116,583,781,853,8,833,744,822,54,298,550
360,60,172,800,3,365,300,801,323,364,462,279,162,350,131,604
361,22,538,717,291,677,233,839,578,453,596,282,847,280,856,424
362,673,777,648,31,139,833,690,841,382,16,447,859,425,203,656
363,386,478,232,793,354,750,857,658,615,411,713,225,462,754,437
364,282,729,342,10,885,849,372,359,706,247,171,635,600,37,683
365,427,763,26,780,829,767,110,185,416,506,741,298,529,384,373
366,70,479,871,572,868,243,400,129,187,63,340,46,689,819,534
367,466,289,783,808,386,508,602,32,111,823,790,58,530,531,79
368,722,368,143,679,489,774,173,861,569,200,799,571,889,9,33
369,693,201,223,763,40,765,843,140,554,611,897,588,55,197,394
370,291,867,11,102,293,226,432,635,266,215,143,889,73,38,731
371,494,227,446,639,287,207,160,718,675,111,65,281,24,728,92
372,207,141,42,471,443,538,739,130,631,670,748,774,724,97,833
373,187,767,412,461,327,827,676,444,599,379,93,879,630,534,519
374,171,228,253,359,321,775,145,590,157,835,220,117,513,10,684
375,373,244,693,25,577,666,190,381,190,872,670,392,144,449,517
376,130,184,825,237,872,287,814,726,873,612,72,92,769,481,535
377,479,688,178,231,423,615,202,646,573,551,50,45,752,519,169
378,239,290,888,286,596,121,510,894,112,399,859,27,253,98,34
379,753,276,277,111,609,188,617,553,495,688,593,60,890,402,864
380,799,40,297,48,278,759,297,591,384,367,14,605,765,659,346
381,97,508,873,23,679,617,740,852,131,656,554,695,192,609,733
382,55,277,384,475,141,288,512,197,232,131,692,458,232,482,834
383,24,671,86,703,498,711,707,250,531,598,243,88,193,471,581
384,400,825,98,709,370,864,338,89,15,672,417,377,102,601,685
385,191,261,58,688,820,465,828,582,360,641,410,686,130,92,611
386,516,552,416,589,735,608,454,403,191,305,885,372,560,660,536
387,360,145,828,662,729,402,40,81,68,763,380,394,159,1,699
388,724,411,499,284,368,21,604,198,676,708,891,212,829,367,818
389,420,527,255,499,544,355,661,661,742,357,700,654,353,257,257
390,269,146,635,254,523,865,235,133,210,798,752,619,453,602,347
391,493,200,894,332,672,594,577,280,791,576,513,870,407,461,15
392,379,29,860,316,106,246,305,555,865,56,789,539,359,695,804
393,335,822,832,605,167,98,71,8,5,255,762,738,256,861,44
394,548,817,167,50,479,380,490,291,560,373,349,338,408,803,900
395,829,766,504,725,661,321,708,188,545,179,571,55,800,581,511
396,302,417,199,410,466,68,213,857,104,161,592,897,537,388,660
397,99,730,47,270,336,182,54,469,361,71,26,328,404,421,606
398,421,590,420,194,567,839,9,220,225,560,298,295,846,404,171
399,752,687,725,302,627,201,633,677,240,467,356,600,182,34,727
400,667,677,422,181,185,381,522,83,149,828,669,41,591,669,441
401,871,204,184,422,759,4,150,889,792,753,706,277,653,389,512
402,410,633,793,380,397,290,333,36,639,422,521,23,183,462,409
403,218,507,478,478,204,126,266,447,894,14,785,452,17,124,680
404,808,739,461,747,642,840,157,265,123,101,409,556,492,523,585
405,860,142,804,120,25,898,422,282,335,543,427,238,820,698,576
406,140,489,611,18,429,322,380,471,45,238,463,115,243,3,96
407,359,260,377,549,245,265,862,752,776,666,828,585,684,154,472
408,364,726,703,848,706,291,230,600,580,206,242,899,876,66,647
409,590,125,105,778,887,368,468,113,125,270,665,633,878,524,681
410,458,375,594,672,157,807,565,344,81,148,866,308,685,391,600
411,814,526,849,898,219,171,558,855,538,651,369,85,778,184,564
412,879,102,439,522,294,323,798,85,809,191,435,223,837,613,38
413,9,41,774,622,688,85,804,679,211,738,266,665,82,241,861
414,91,860,285,217,80,127,526,632,517,313,441,692,37,232,291
415,430,897,291,392,492,643,761,452,75,850,176,795,122,656,345
416,787,595,834,878,762,808,20,765,292,806,302,558,524,302,868
417,541,796,566,459,647,686,240,222,777,169,811,360,136,614,565
418,762,656,748,657,382,350,573,254,549,317,394,128,123,155,214
419,338,732,426,351,129,568,821,664,564,164,193,265,849,424,358
420,523,222,866,200,537,128,262,527,438,791,566,279,507,441,368
421,821,788,684,330,27,770,516,368,318,624,411,626,295,806,381
422,884,150,134,716,444,673,274,373,289,565,303,819,361,341,129
423,105,45,549,358,323,631,363,262,168,459,534,408,343,880,413
424,397,71,146,685,206,154,390,499,744,408,792,382,131,357,326
425,487,664,23,313,12,650,762,823,698,392,701,19,284,791,643
426,648,210,235,4,431,825,268,326,422,123,159,463,400,15,401
427,257,832,759,189,171,453,745,50,880,740,6,303,502,807,117
428,749,618,500,794,494,705,560,179,680,820,37,399,356,827,294
429,562,252,302,11,690,575,865,776,591,545,793,409,265,465,261
430,678,487,891,686,511,853,517,167,334,363,730,351,488,768,118
431,536,888,6,474,143,448,786,629,408,594,422,273,740,378,188
432,603,131,300,168,221,139,394,361,17,715,567,322,296,683,176
433,225,301,409,680,402,714,822,617,507,47,38,304,872,319,602
434,146,446,752,795,82,581,763,30,463,209,230,411,696,843,573
435,321,90,838,560,434,817,153,811,546,778,887,123,832,234,810
